;area:low;area:medium;area:high;population:low;population:medium;population:high;mains voltage:low;mains voltage:medium;mains voltage:high;driving side:right;driving side:left;inflation rate:low;inflation rate:medium;inflation rate:high;total fertility rate:low;total fertility rate:medium;total fertility rate:high;PPP GDP per capita:low;PPP GDP per capita:medium;PPP GDP per capita:high;life expectancy:low;life expectancy:medium;life expectancy:high;has quality:free country;has quality:historical country;has quality:partly free country;has quality:not-free country;nominal GDP per capita:low;nominal GDP per capita:medium;nominal GDP per capita:high;nominal GDP:low;nominal GDP:medium;nominal GDP:high
New Zealand;0;1;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1
Yemen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jamaica;0;1;1;1;0;1;0;1;1;1;0;1;0;1;1;0;1;1;0;1;1;1;0;0;1;1;1;1;0;1;1;0;1
Samoa;0;1;1;0;1;1;1;0;1;0;1;1;0;1;1;1;0;1;0;1;1;0;1;0;1;1;1;1;0;1;0;1;1
United Arab Emirates;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1
India;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lesotho;0;1;1;0;1;1;1;0;1;1;0;1;1;0;1;0;1;0;1;1;0;1;1;1;1;0;1;0;1;1;0;1;1
Saint Vincent and the Grenadines;0;1;1;0;1;1;1;0;1;1;0;1;0;1;1;0;1;1;0;1;1;0;1;0;1;1;1;0;1;1;0;1;1
Kenya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
South Korea;0;1;0;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0
Tajikistan;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0
Turkey;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Afghanistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Czech Republic;0;1;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1
Mauritania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Solomon Islands;0;1;1;0;1;1;1;0;1;1;0;0;1;1;1;1;0;0;1;1;1;0;1;0;1;1;1;0;1;1;0;1;1
Saint Lucia;0;1;1;0;1;1;1;1;0;1;0;0;1;1;0;1;1;1;0;1;1;0;1;0;1;1;1;1;1;0;0;1;1
Mongolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
France;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rwanda;0;1;1;1;0;1;1;0;1;0;1;1;1;0;1;1;0;0;1;1;0;1;1;1;1;1;0;0;1;1;0;1;1
Slovakia;0;1;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1
Peru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vanuatu;0;1;1;0;1;1;1;0;1;0;1;1;0;1;1;1;0;0;1;1;1;0;1;0;1;1;1;1;1;0;0;1;1
Norway;0;1;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1
Malawi;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0
Benin;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0
Federated States of Micronesia;0;1;1;0;1;1;0;1;1;0;1;1;0;1;1;1;0;0;1;1;1;0;1;0;1;1;1;1;1;0;0;1;1
Singapore;0;1;1;1;0;1;1;0;1;1;0;0;1;1;0;1;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;1
Montenegro;0;1;1;0;1;1;1;0;1;0;1;0;1;1;0;1;1;1;0;1;1;1;0;1;1;0;1;1;1;0;1;0;1
Saint Kitts and Nevis;0;1;1;0;1;1;1;0;1;1;0;0;1;1;0;1;1;1;1;0;1;0;1;0;1;1;1;1;0;1;0;1;1
Togo;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1
Dominican Republic;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0
Bahrain;0;1;1;0;1;1;1;0;1;0;1;1;0;1;1;0;1;1;1;0;1;1;0;1;1;1;0;1;1;0;1;0;1
Finland;0;1;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1
Libya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Indonesia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Central African Republic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mauritius;0;1;1;0;1;1;1;0;1;1;0;1;0;1;0;1;1;1;0;1;1;0;1;0;1;1;1;1;0;1;1;0;1
Vietnam;0;1;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1
Mali;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bulgaria;0;1;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1
Romania;0;1;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;1
Chad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
South Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fiji;0;1;1;0;1;1;1;1;0;1;0;1;0;1;1;0;1;1;0;1;1;0;1;1;1;0;1;1;0;1;0;1;1
Malaysia;0;1;0;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0
Austria;0;1;0;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1
Mozambique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Uganda;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0
Japan;0;1;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;1
Niger;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brazil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Bahamas;0;1;1;0;1;1;0;1;1;1;0;0;1;1;0;1;1;1;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1
Costa Rica;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0
Ireland;0;1;0;0;1;0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0
Palau;0;1;1;0;1;1;0;1;1;0;1;0;1;1;0;1;1;1;1;0;1;0;1;0;1;1;1;1;1;0;0;1;1
Nigeria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ecuador;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0
Bangladesh;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0
Brunei;0;1;1;0;1;1;1;1;0;1;0;0;1;1;0;1;1;1;1;0;1;1;0;1;1;1;0;1;1;0;0;1;1
Australia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Iran;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Algeria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
El Salvador;0;1;1;1;0;1;0;1;1;0;1;0;1;1;1;0;1;1;0;1;1;0;1;0;1;1;1;1;0;1;1;0;1
Chile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kiribati;0;1;1;0;1;1;1;1;0;1;0;1;0;1;1;0;1;0;1;1;1;0;1;0;1;1;1;1;0;1;0;1;1
Haiti;0;1;1;1;0;1;0;1;1;0;1;1;1;0;1;1;0;0;1;1;0;1;1;1;1;0;1;0;1;1;1;0;1
Iraq;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sierra Leone;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0
Nepal;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0
Denmark;0;1;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1
Poland;0;1;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1
Morocco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Croatia;0;1;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1
Guinea-Bissau;0;1;1;0;1;1;1;0;1;0;1;1;0;1;1;1;0;0;1;1;0;1;1;1;1;0;1;0;1;1;0;1;1
Thailand;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Grenada;0;1;1;0;1;1;1;0;1;1;0;1;0;1;1;0;1;1;0;1;1;0;1;0;1;1;1;1;1;0;1;0;1
Seychelles;0;1;1;0;1;1;1;1;0;1;0;0;1;1;0;1;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;1
Portugal;0;1;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0
Uruguay;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0
Lebanon;0;1;1;1;0;1;1;0;1;0;1;1;0;1;0;1;1;1;0;1;1;1;0;1;1;0;1;1;1;0;1;0;1
Uzbekistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tunisia;0;1;0;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0
Djibouti;0;1;1;0;1;1;1;0;1;0;1;1;0;1;1;1;0;1;0;1;0;1;1;1;1;1;0;1;1;0;0;1;1
Antigua and Barbuda;0;1;1;0;1;1;1;0;1;1;0;0;1;1;0;1;1;1;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1
Colombia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burundi;0;1;1;1;0;1;1;0;1;0;1;1;1;0;1;1;0;0;1;1;0;1;1;1;1;1;0;0;1;1;0;1;1
Eswatini;0;1;1;0;1;1;1;0;1;1;0;1;1;0;1;1;0;1;0;1;0;1;1;1;1;1;0;0;1;1;0;1;1
Nicaragua;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0
Barbados;0;1;1;0;1;1;0;1;1;1;0;0;1;1;0;1;1;1;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1
Madagascar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Italy;0;1;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1
Bhutan;0;1;1;0;1;1;1;0;1;1;0;1;0;1;1;0;1;0;1;1;0;1;1;1;1;0;1;1;0;1;0;1;1
Sudan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Laos;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0
Democratic Republic of the Congo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Maldives;0;1;1;0;1;1;1;0;1;1;0;1;0;1;1;0;1;1;0;1;1;0;1;1;1;0;1;1;0;1;0;1;1
São Tomé and Príncipe;0;1;1;0;1;1;1;0;1;0;1;1;1;0;1;1;0;0;1;1;1;0;1;0;1;1;1;1;0;1;0;1;1
Venezuela;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Israel;0;1;1;1;1;0;1;0;1;0;1;0;1;1;1;0;1;1;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1
Zambia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Senegal;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0
Papua New Guinea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zimbabwe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jordan;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0
Kazakhstan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Philippines;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1
Eritrea;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0
Kyrgyzstan;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0
Trinidad and Tobago;0;1;1;0;1;1;0;1;1;1;0;1;0;1;0;1;1;1;1;0;1;0;1;0;1;1;1;1;0;1;0;1;1
Latvia;0;1;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1
Guyana;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0
Honduras;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0
Myanmar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mexico;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Egypt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comoros;0;1;1;0;1;1;1;0;1;0;1;0;1;1;1;1;0;0;1;1;0;1;1;1;1;0;1;1;0;1;0;1;1
United Kingdom;0;1;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1
Paraguay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Namibia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Botswana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
